,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
1973-08-01,0.0,0.0,0.0,0.0,3.7470027081099033e-16,1.8812223713886454e-16,0.0,1.0,0.0,8.468945193530558e-17
1973-09-01,1.7944233873178834e-16,0.0,2.987498155121003e-17,2.1616674862340297e-16,0.0,5.128995763688128e-17,5.195142417729615e-17,1.0,6.01450755936899e-17,2.7399494465303e-17
1973-10-01,1.4139595585282483e-16,4.4501869457444665e-17,0.0,3.0983505470770887e-17,2.636779683484747e-16,0.0,3.7918045317616123e-16,0.9999999999999991,1.9319568979350363e-16,2.567501468697769e-17
1973-11-01,5.380404142269802e-17,0.0,7.202245233629354e-17,1.7813441693936838e-16,0.0,0.0,0.0,1.0,1.2355513319412757e-17,1.888724334188084e-18
1973-12-01,2.775335607947874e-16,0.0,1.2280288514218219e-16,0.0,0.0,0.0,6.629079794244783e-17,1.0,0.0,4.040409974833925e-16
1974-01-01,6.837191538344369e-17,3.78166722102477e-17,0.0,1.3183898417423734e-16,1.487831260560307e-16,0.0,0.0,0.9999999999999999,0.0,0.0
1974-02-01,4.3317174240799295e-17,1.1926729006349269e-16,0.0,0.0,0.0,1.116292147473541e-16,4.931597571136007e-17,1.0,1.956752069572683e-17,0.0
1974-03-01,1.2626291468154346e-16,9.285011429466566e-17,1.796727797794904e-17,6.522560269672795e-16,1.1895111962843393e-16,0.0,0.0,0.9999999999999998,0.0,0.0
1974-04-01,0.0,0.0,0.0,2.914335439641036e-16,8.990577474713038e-17,4.7906898604214464e-17,7.602547475223145e-17,1.0,4.876921692216261e-17,0.0
1974-05-01,8.255591362360968e-18,0.0,0.0,1.7662937210221273e-16,3.400058012914542e-16,0.0,6.687214149321373e-17,0.9999999999999997,0.0,4.443555841806429e-17
1974-06-01,7.235314095005282e-17,0.0,0.0,0.0,0.0,0.0,9.818534874028728e-16,0.9999999999999999,2.016216587652158e-17,0.0
1974-07-01,0.0,0.0,0.0,4.697871712769657e-17,0.0,0.0,0.0,1.0,0.0,0.0
1974-08-01,1.1542873808115852e-17,7.767508513137946e-17,0.0,0.0,0.0,3.26332382750128e-16,9.33741742443814e-17,0.9999999999999996,8.438440042701341e-17,1.7720061326776584e-16
1974-09-01,0.0,8.146217515116813e-17,2.9090321904733377e-16,1.5366066996029163e-15,3.7470027081099033e-16,8.589821536639924e-17,5.002204203218268e-17,0.999999999999998,8.318195950922976e-17,0.0
1974-10-01,0.0,1.0310914945861322e-17,0.0,6.023827270329463e-16,0.0,0.0,0.0,1.0,5.955391685704847e-17,5.401239440439493e-17
1974-11-01,0.0,0.0,1.1468100266515818e-16,5.689893001203927e-16,0.0,0.0,0.0,1.0,0.0,3.877105268286039e-18
1974-12-01,0.0,7.528771004576805e-17,0.0,0.0,0.0,6.963850868023371e-18,0.0,1.0,0.0,0.0
1975-01-01,1.828457482348976e-16,4.94901822510547e-17,1.5520301737148717e-16,0.0,2.1550665823451508e-16,3.1798748790261504e-17,1.4017078047008843e-16,0.9999999999999992,7.971005304396703e-17,5.891121662676939e-17
1975-02-01,4.984088657608958e-17,7.588153082231633e-19,5.171084491216818e-17,0.0,1.7854145264994806e-18,5.82536667383647e-17,0.0,1.0,3.182739055654754e-17,0.0
1975-03-01,0.0,7.124707517082059e-17,1.0092648655670079e-16,0.0,0.0,8.477319629581266e-17,1.4129159146336492e-16,1.0,9.971299819452966e-17,6.538985768184819e-17
1975-04-01,0.0,1.0033043546733118e-16,0.0,3.469446951953614e-16,1.662498882278227e-16,7.683820205645885e-18,0.0,0.9999999999999999,2.0071568972027928e-17,0.0
1975-05-01,0.0,0.0,0.0,0.0,2.6264695567980926e-16,0.0,1.118867603641858e-17,0.9999999999999999,0.0,0.0
1975-06-01,0.0,0.0,0.0,7.494005416219807e-16,1.110032429618153e-16,0.0,0.0,0.9999999999999997,0.0,0.0
1975-07-01,5.239721503082035e-17,3.305936917550866e-16,1.5873510601734982e-16,0.0,0.0,6.599936465571944e-17,2.621947685595505e-16,0.9999999999999998,8.14843528185939e-17,1.5364297777510538e-17
1975-08-01,1.680503484743323e-16,0.0,5.014304948070522e-17,0.09132607269500177,0.0,0.0,7.768585297215284e-17,0.9086739273049982,0.0,0.0
1975-09-01,1.1964246950175302e-16,2.6989937766260013e-16,2.6429423166380924e-16,0.3308310910294153,3.6800311943989116e-17,9.923974872986794e-17,6.562202037872928e-18,0.6691689089705839,6.003525260807628e-17,0.0
1975-10-01,4.950677754380378e-17,1.3192103899961967e-16,0.0,0.45080951665088886,0.0,4.235872536622609e-17,1.7752869893609587e-16,0.5491904833491106,2.700569375789895e-17,1.6747616896035626e-16
1975-11-01,0.0,1.3180656647672e-16,1.5762259854160239e-16,0.12667166894893112,1.247314704653766e-16,0.0,0.0,0.8733283310510689,2.4616192906614303e-17,0.0
1975-12-01,0.0,0.0,0.0,0.01483769392256079,3.1551209985788956e-16,0.0,0.0,0.9851623060774399,0.0,3.940512249760995e-17
1976-01-01,0.0,0.0,4.418346645341434e-17,0.3428516336564836,1.8212874066320433e-16,1.8726535192338077e-16,6.061698941687573e-16,0.6571483663435163,0.0,0.0
1976-02-01,5.791580941049154e-17,2.5656089092727987e-17,2.8370391646738033e-16,0.3621538453122467,1.0769538344801188e-16,1.4732747494214265e-16,0.15433233258338033,0.4835138221043725,8.778785298959338e-17,0.0
1976-03-01,0.0,2.779629230270874e-16,0.0,0.363578623105214,0.0,0.0,0.5620706840203279,0.07435069287445806,2.4037435816599955e-17,3.1070049022176735e-16
1976-04-01,0.0,0.0,0.0,0.4668124736407727,0.0,0.0,0.43349053662254144,0.09969698973668653,0.0,0.0
1976-05-01,1.8785975795302857e-17,0.0,9.567351609788675e-17,0.6443855197539892,8.278129648679911e-17,5.822790222030468e-17,0.24679441533539215,0.10882006491061877,0.0,0.0
1976-06-01,2.8622260914978505e-17,2.5472152490022988e-17,0.0,0.9398803870687277,0.0,0.0,3.263643989660467e-17,0.06011961293127273,3.998799116181626e-17,1.2621934864867158e-17
1976-07-01,0.0,0.0,0.0,1.0,4.4647683242844005e-17,0.0,1.2706449179908998e-16,0.0,3.466050991186772e-17,3.6049862086020855e-17
1976-08-01,0.0,9.272469578105458e-17,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,1.10233683930691e-16,1.2335772316160523e-16
1976-09-01,0.0,0.0,1.1089041747432888e-16,0.8620649751221992,2.955133628926688e-17,1.1858224114089683e-16,8.402420359029506e-17,0.13793502487780082,6.938569297379008e-17,0.0
1976-10-01,0.0,1.0431879394607908e-16,0.0,0.7777100799822178,0.0,0.0,7.181048869074134e-17,0.22228992001778225,1.4956171960627e-16,8.42361553988218e-17
1976-11-01,9.022987908117262e-17,0.0,1.1918821170246125e-16,0.6225579245821116,1.412226816280324e-16,3.198052846968674e-17,0.2511865534933719,0.12625552192451692,0.0,0.0
1976-12-01,0.0,3.999048428919227e-17,2.0100437146687903e-16,0.6250871946014502,0.0,0.0,0.3749128053985501,0.0,0.0,0.0
1977-01-01,2.350356466641765e-16,9.360467997469211e-17,1.0872616170581632e-16,0.6314403243541663,1.6502362473007966e-16,4.822004843218545e-18,0.36855967564583286,2.079308024685032e-16,2.822373186553241e-16,0.0
1977-02-01,1.1973825587947678e-16,3.6908694492332656e-17,2.0384510578209276e-17,1.0,0.0,0.0,0.0,5.0544842367897465e-17,3.0497633008600107e-18,0.0
1977-03-01,0.0,6.016575905162421e-17,1.5187619919875817e-17,1.0,8.695615453364101e-17,1.1162827830529765e-16,0.0,5.62457643767539e-17,1.0058313922408354e-17,3.922071232763655e-17
1977-04-01,1.3324384647816268e-16,0.0,1.0170041964580529e-17,1.0,1.1733713287755657e-16,0.0,0.0,1.1523107815624482e-18,0.0,1.9637624998922343e-16
1977-05-01,5.4926578669658855e-17,4.686341811902885e-17,4.731999555348134e-17,0.9999999999999999,0.0,0.0,0.0,3.6178848148462475e-17,2.1619441257543824e-17,1.8201118003736943e-17
1977-06-01,8.221421122350477e-17,0.0,0.0,1.0,0.0,0.0,6.828797923971465e-17,1.1570665301780206e-17,1.8775813190005903e-17,4.8798123084273415e-17
1977-07-01,4.6009978862766e-17,0.0,0.0,1.0,0.0,0.0,2.944114630478775e-17,3.123342737143277e-17,1.0247379873213204e-16,0.0
1977-08-01,0.0,0.0,0.0,0.8762417227639987,7.534672008367207e-17,0.12375827723600254,0.0,0.0,0.0,9.519077942867552e-19
1977-09-01,0.0,5.1707847040273015e-17,0.0,0.7214767026305644,1.6423662341051267e-16,0.27852329736943554,0.0,1.55745691032008e-16,4.3715461377281316e-17,3.1909178535211033e-19
1977-10-01,0.0,0.0,0.0,0.47404288584176363,0.0,0.5259571141582369,0.0,2.4081022699626638e-17,0.0,0.0
1977-11-01,7.218397483192186e-17,0.0,0.0,0.42887920004347324,0.0,0.5711207999565271,7.976972354392657e-17,9.599725498577063e-17,4.835060977144627e-17,0.0
1977-12-01,0.0,3.5100341211849133e-17,0.0,0.4543626917417343,7.189659462866199e-18,0.5456373082582658,6.71376675341999e-17,0.0,0.0,0.0
1978-01-01,5.208490513415866e-17,0.0,0.0,0.3144348875234883,0.0,0.6855651124765123,0.0,2.218286923738668e-17,0.0,3.049410224668969e-18
1978-02-01,0.0,3.2415957790245808e-18,8.82344175463586e-18,0.3412013262492327,1.3952479841824669e-16,0.6587986737507671,6.168852982928976e-17,8.192509467902808e-17,0.0,3.6041767059976935e-17
1978-03-01,4.161675728842488e-17,0.0,0.0,0.12834210121157666,0.0,0.8716578987884235,0.0,1.6581755506562874e-17,0.0,0.0
1978-04-01,0.0,2.812952797905967e-17,2.8495312933890064e-17,0.02156804850589842,6.216848058977436e-17,0.9784319514941024,0.0,0.0,1.1345443692919215e-16,2.5834153346306758e-17
1978-05-01,1.6622047673530418e-16,2.946508164201562e-17,0.0,0.034493932824796486,6.815698566789862e-17,0.9655060671752028,0.0,3.1018274624046005e-16,4.2729931134651796e-16,8.613290549574827e-17
1978-06-01,0.0,1.0296940126599453e-16,5.353961951870568e-17,0.002497824657500855,3.851078495357715e-18,0.9975021753424992,1.1891675019153704e-16,0.0,1.0168496181899806e-17,0.0
1978-07-01,1.923573138119164e-16,3.945840675680226e-18,2.475151568703205e-16,0.002950917587693294,0.0,0.9970490824123065,1.0705341134385567e-16,3.64134346347486e-16,0.0,0.0
1978-08-01,0.0,4.2371001690278275e-17,0.0,0.0,2.013817441208317e-16,0.9855329219052584,1.8556483622889743e-17,0.014467078094741265,2.0001570288174848e-17,2.2368542792182584e-16
1978-09-01,1.6441524545631766e-16,3.8940132115664895e-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.70215172811912e-17
1978-10-01,0.0,1.462989378966807e-16,1.1013002221874084e-16,0.04255547262705034,0.0,0.9574445273729496,1.2145557650774976e-16,2.8218552912949334e-16,0.0,3.133968105410407e-17
1978-11-01,0.0,0.0,0.0,0.0,2.340435056841883e-17,0.9999999999999998,1.0599361004618066e-16,1.1572678583838385e-15,0.0,0.0
1978-12-01,4.650545805087749e-17,0.0,0.0,7.494005416219807e-16,0.0,1.0,4.382011783395578e-18,0.0,0.0,0.0
1979-01-01,0.0,4.486180848273069e-17,0.0,2.498001805406602e-16,0.0,0.9999999999999998,3.677367511995205e-17,0.0,1.4836245563044783e-16,1.279482765487051e-16
1979-02-01,0.0,1.934770081649346e-16,0.0,0.0,0.0,1.0,1.6124393816486944e-16,1.082757452863451e-16,2.455305911659823e-17,0.0
1979-03-01,0.0,2.010835983039978e-17,1.0197302481207979e-16,0.03903454848873393,2.6340072978607306e-17,0.9609654515112662,0.0,0.0,2.0887358822119996e-16,0.0
1979-04-01,7.105587939186006e-17,0.0,0.0,0.09436884341707578,0.0,0.9056311565829239,9.149406355813361e-17,7.783603916013211e-17,1.317398912315393e-16,0.0
1979-05-01,3.113215856807679e-16,1.2917003835845397e-16,2.1950478268912378e-16,0.7065096820375393,1.4058512536566316e-16,0.29349031796246017,0.0,0.0,0.0,4.5349394847751445e-17
1979-06-01,0.0,1.9648449558887906e-17,0.0,0.4696833015785987,1.5845654489482854e-17,0.5303166984214017,6.478346884985742e-17,4.2208387356267503e-17,0.0,0.0
1979-07-01,0.0,6.218197757751434e-17,4.155598247535563e-17,1.0,1.2880010598528825e-17,0.0,5.1508791763120036e-17,0.0,1.6557708392222392e-16,1.4245231994386903e-16
1979-08-01,0.0,0.0,0.0,1.0,0.0,6.661338147750939e-16,0.0,0.0,1.1419693301828765e-16,0.0
1979-09-01,0.0,0.0,5.844297406711546e-18,1.0,0.0,0.0,5.4580286949438525e-17,0.0,1.2156585582309709e-17,0.0
1979-10-01,6.999361324580092e-17,1.638266832700257e-17,0.0,1.0,1.2443677016588739e-16,0.0,6.268363015739878e-17,0.0,6.769158941987643e-17,0.0
